,num_posts
2008-11-17,2203
2008-11-16,966
2008-11-15,1128
2008-11-14,2355
2008-11-13,2364
2008-11-12,2645
2008-11-11,2317
2008-11-10,2356
2008-11-19,2554
2008-11-18,2470
2012-07-01,6766
2013-01-01,7102
2013-01-03,15099
2013-01-02,13088
2013-01-05,9018
2013-01-04,14855
2013-01-07,15123
2013-01-06,8562
2013-01-09,17090
2013-01-08,16729
2013-04-16,19208
2012-03-19,13962
2012-03-18,7291
2010-05-08,3146
2010-05-09,2967
2010-05-06,6503
2010-05-07,5934
2010-05-04,6541
2010-05-05,6640
2010-05-02,2965
2012-03-14,15378
2012-03-17,7581
2010-05-01,3043
2009-02-11,3672
2012-06-19,15527
2009-02-16,2555
2009-02-17,3466
2012-02-21,14581
2009-02-15,1546
2011-05-07,5742
2011-05-06,11033
2011-05-05,12258
2011-05-04,12242
2011-05-03,11594
2011-05-02,9896
2011-05-01,6004
2014-01-07,20259
2011-05-09,10841
2011-05-08,5591
2012-04-10,14369
2012-04-11,15003
2012-04-12,15298
2012-04-13,13961
2012-04-14,7280
2012-04-15,7540
2012-04-16,13702
2012-04-17,14890
2012-04-18,16234
2012-04-19,15960
2012-09-10,14370
2009-10-31,2622
2009-10-30,4791
2011-06-30,11876
2011-10-01,5547
2011-10-03,10174
2011-10-02,5292
2011-10-05,11844
2011-10-04,11519
2011-10-07,10423
2011-10-06,11028
2011-10-09,5833
2011-10-08,5566
2013-10-29,20770
2011-03-29,12125
2013-10-25,19415
2013-10-24,21068
2013-10-27,10166
2011-03-28,11288
2013-10-21,19368
2013-10-20,10075
2013-10-23,20684
2012-12-03,15451
2012-07-15,7014
2012-07-14,7137
2012-07-17,15371
2012-07-16,14962
2012-07-11,16619
2012-07-10,15983
2012-07-13,14704
2012-07-12,16222
2012-07-19,16106
2012-07-18,16547
2011-03-23,12030
2012-12-04,16990
2011-03-22,12499
2010-09-08,7947
2010-09-09,7392
2012-05-30,14996
2010-09-02,7882
2010-09-03,7101
2010-09-01,7745
2010-09-06,5771
2010-09-07,7435
2010-09-04,3637
2010-09-05,3321
2009-06-27,1824
2009-06-26,4238
2009-06-25,4449
2009-06-24,4835
2009-06-23,4990
2009-06-22,4191
2009-06-21,1898
2009-06-20,1955
2012-12-08,8614
2012-12-09,8434
2012-12-05,17469
2009-06-29,4294
2009-06-28,1866
2012-11-16,15076
2012-06-20,15746
2012-11-17,8256
2013-06-30,8541
2009-11-18,6211
2009-11-19,6386
2012-11-29,17157
2012-11-28,17829
2009-11-12,6213
2009-11-13,5436
2009-11-10,6235
2009-11-11,5776
2009-11-16,5420
2009-05-02,1816
2009-11-14,2966
2009-11-15,2843
2009-05-03,2007
2012-11-18,8315
2012-11-19,15805
2012-12-14,14395
2013-05-30,18776
2013-05-31,17101
2009-04-30,4087
2013-07-15,17811
2013-01-30,18794
2013-01-31,18360
2013-07-13,8152
2010-01-02,2767
2010-01-03,2894
2010-01-01,2207
2010-01-06,6203
2010-01-07,6365
2010-01-04,5432
2010-01-05,5767
2010-01-08,5964
2010-01-09,3220
2013-07-19,18206
2012-03-28,15247
2012-03-29,15406
2012-03-24,7595
2012-02-01,13958
2012-03-26,14010
2012-03-27,15204
2012-03-20,14624
2012-03-21,15273
2012-03-22,15250
2010-05-12,7127
2013-11-28,17984
2013-11-29,15839
2013-11-24,10445
2013-11-25,19063
2013-10-18,18399
2012-04-07,7558
2012-04-06,10924
2012-04-05,14189
2012-04-04,15303
2012-04-03,15231
2012-04-02,13606
2012-04-01,7398
2012-04-09,11805
2012-04-08,7038
2011-10-30,5411
2011-10-31,10580
2012-03-15,15222
2012-07-28,7314
2012-07-29,7143
2013-10-12,9651
2013-10-13,9564
2013-10-14,16671
2010-03-19,6062
2013-10-16,19634
2013-10-17,19993
2012-07-20,14698
2012-07-21,7054
2012-07-22,7042
2010-03-18,6284
2012-07-24,15977
2012-07-25,16473
2012-07-26,16353
2012-07-27,14853
2012-01-26,12958
2010-03-16,6658
2012-01-24,13643
2012-01-25,13825
2010-03-13,3393
2012-01-21,7112
2010-03-12,5991
2010-09-19,3395
2010-09-18,3606
2012-01-20,12364
2010-09-11,3409
2010-09-10,6694
2010-09-13,6983
2010-09-12,3456
2010-09-15,7782
2010-09-14,7409
2010-09-17,6995
2010-09-16,7814
2009-12-22,5664
2009-12-23,5156
2009-12-20,2574
2009-12-21,4982
2009-12-26,1986
2009-12-27,2344
2009-12-24,3418
2009-12-25,1758
2013-10-19,9972
2009-12-28,4077
2009-12-29,4708
2012-12-19,16770
2012-12-18,16054
2013-06-01,9098
2013-06-02,8375
2013-06-03,16257
2013-06-04,18467
2013-06-05,19104
2013-06-06,19142
2013-06-07,17521
2013-06-08,8827
2013-06-09,8661
2009-11-09,5398
2009-11-08,2827
2008-09-18,6263
2008-09-19,5726
2009-11-01,2409
2008-09-17,7027
2009-11-03,5593
2009-11-02,4826
